test_id,student_id,day_index,timestamp,question_id,subject,topic,difficulty,question_elo,question_elo_category,centrality,question_tags,graph_mode,remediation_for_question_id,remediation_step,graph_edge_kind,graph_edge_weight,recommendation_reason,R_before,rating_level_before,v_before,n_before,sigma2_before,k_before,m_before,W_before,Qans_before_count,Qsrv_before_count,pi_rem_before,pred_prob,response_quality,correct,response_time_sec,Ki,phi,Ei,delta_Rraw,v_after,rating_level_after,R_after,sigma2_after,k_after,m_after,W_after,Qans_after_count,Qsrv_after_count,pi_rem_after,rating_change,difficulty_numeric,difficulty_mapped,persona,marks
s1_t4,1,0,1700100120,dbms-q46,dbms,dbms-normalization,easy,710,low,0.0,functional-dependencies|closure-of-attributes|canonical-cover|lossless-join-decomposition|dependency-preservation|first-normal-form|second-normal-form|third-normal-form|boyce-codd-normal-form,standard,0,0,none,0.0,practice_test,1797.0,advanced,0,0,0.0,0,0,0.0,0,0,0.0,0.9980872047349112,0.0,1,93.5239667629797,32,1.0,0.9980872047349112,0,0,advanced,1797,0.0,0,0,0.0,0,0,0.0,0,easy,easy,Elite Performer,2
s1_t4,1,0,1700100121,ds-q59,calculus-optimization,calculus,easy,950,medium,0.0,derivatives|integrals|limits|continuity,standard,0,0,none,0.0,practice_test,1797.0,advanced,0,0,0.0,0,0,0.0,0,0,0.0,0.9924282006532854,0.0,1,79.38200432986275,32,1.0,0.9924282006532854,0,0,advanced,1797,0.0,0,0,0.0,0,0,0.0,0,easy,easy,Elite Performer,2
s1_t4,1,0,1700100122,dsa-q81,programming-dsa,dsa-complexity,medium,1310,high,0.0,time-complexity|space-complexity|big-o-notation,standard,0,0,none,0.0,practice_test,1797.0,advanced,0,0,0.0,0,0,0.0,0,0,0.0,0.9428591346675568,0.0,1,84.86759557597325,32,1.0,0.9428591346675568,2,0,advanced,1799,0.0,0,0,0.0,0,0,0.0,2,medium,medium,Elite Performer,4
s1_t4,1,0,1700100123,ga-q22,general-aptitude,ga-quantitative-aptitude,easy,930,medium,0.0,arithmetic|algebra|geometry|permutations|combinations,standard,0,0,none,0.0,practice_test,1799.0,advanced,0,0,0.0,0,0,0.0,0,0,0.0,0.9933228607928176,0.0,1,81.80181039586289,32,1.0,0.9933228607928176,0,0,advanced,1799,0.0,0,0,0.0,0,0,0.0,0,easy,easy,Elite Performer,2
s1_t4,1,0,1700100124,ds-q197,artificial-intelligence,quantitative-aptitude,easy,700,low,0.0,numbers|algebra|geometry|probability,standard,0,0,none,0.0,practice_test,1799.0,advanced,0,0,0.0,0,0,0.0,0,0,0.0,0.998214647654847,0.0,1,80.35250772360388,32,1.0,0.998214647654847,0,0,advanced,1799,0.0,0,0,0.0,0,0,0.0,0,easy,easy,Elite Performer,2
s1_t4,1,0,1700100125,ga-q7,general-aptitude,ga-quantitative-aptitude,easy,820,low,0.0,arithmetic|algebra|geometry|permutations|combinations,standard,0,0,none,0.0,practice_test,1799.0,advanced,0,0,0.0,0,0,0.0,0,0,0.0,0.996444072253126,0.0,1,45.04996682699238,32,1.0,0.996444072253126,0,0,advanced,1799,0.0,0,0,0.0,0,0,0.0,0,easy,easy,Elite Performer,2
s1_t4,1,0,1700100126,dsa-q58,programming-dsa,dsa-trees,medium,1020,medium,0.0,binary-trees|bst|tree-traversal|balanced-trees,standard,0,0,none,0.0,practice_test,1799.0,advanced,0,0,0.0,0,0,0.0,0,0,0.0,0.9888409698268936,0.0,1,46.45995555732932,32,1.0,0.9888409698268936,0,0,advanced,1799,0.0,0,0,0.0,0,0,0.0,0,medium,medium,Elite Performer,2
s1_t4,1,0,1700100127,ga-q9,general-aptitude,ga-logical-reasoning,easy,960,medium,0.0,syllogisms|logical-deduction|critical-reasoning,standard,0,0,none,0.0,practice_test,1799.0,advanced,0,0,0.0,0,0,0.0,0,0,0.0,0.992074181055862,0.0,1,93.9231267962598,32,1.0,0.992074181055862,0,0,advanced,1799,0.0,0,0,0.0,0,0,0.0,0,easy,easy,Elite Performer,2
s1_t4,1,0,1700100128,ds-q424,probability-statistics,probability,medium,1440,high,0.0,sample-spaces|events|conditional-probability|independence,standard,0,0,none,0.0,practice_test,1799.0,advanced,0,0,0.0,0,0,0.0,0,0,0.0,0.8876112598598545,0.0,1,44.58068172646056,32,1.0,0.8876112598598545,4,0,expert,1803,0.0,0,0,0.0,0,0,0.0,4,medium,medium,Elite Performer,6
s1_t4,1,0,1700100129,ps-q73,probability-statistics,ps-distributions,medium,1200,medium,0.0,normal-distribution|binomial-distribution|poisson-distribution|cumulative-distribution|expected-value|variance,standard,0,0,none,0.0,practice_test,1803.0,expert,0,0,0.0,0,0,0.0,0,0,0.0,0.969855570799269,0.0,1,104.94309531708984,32,1.0,0.969855570799269,1,0,expert,1804,0.0,0,0,0.0,0,0,0.0,1,medium,medium,Elite Performer,4
s1_t4,1,0,1700100130,la-q12,linear-algebra,la-eigenvalues,easy,1200,medium,0.0,eigenvalues|eigenvectors|diagonalization|spectral-theorem,standard,0,0,none,0.0,practice_test,1804.0,expert,0,0,0.0,0,0,0.0,0,0,0.0,0.970023410840484,0.0,1,53.96865827553752,32,1.0,0.970023410840484,1,0,expert,1805,0.0,0,0,0.0,0,0,0.0,1,easy,easy,Elite Performer,4
s1_t4,1,0,1700100131,dsa-q80,programming-dsa,dsa-complexity,medium,1410,high,0.0,time-complexity|space-complexity|big-o-notation,standard,0,0,none,0.0,practice_test,1805.0,expert,0,0,0.0,0,0,0.0,0,0,0.0,0.9066840316615196,0.0,1,65.38500248651813,32,1.0,0.9066840316615196,3,0,expert,1808,0.0,0,0,0.0,0,0,0.0,3,medium,medium,Elite Performer,4
s1_t4,1,0,1700100132,dsa-q57,programming-dsa,dsa-trees,hard,2480,high,0.0,binary-trees|bst|tree-traversal|balanced-trees,standard,0,0,none,0.0,practice_test,1808.0,expert,0,0,0.0,0,0,0.0,0,0,0.0,0.0204653789382195,0.0,1,26.00869314279939,32,1.0,0.0204653789382195,31,0,expert,1839,0.0,0,0,0.0,0,0,0.0,31,hard,hard,Elite Performer,10
s1_t4,1,0,1700100133,ga-q19,general-aptitude,ga-quantitative-aptitude,medium,1120,medium,0.0,arithmetic|algebra|geometry|permutations|combinations,standard,0,0,none,0.0,practice_test,1839.0,expert,0,0,0.0,0,0,0.0,0,0,0.0,0.9843096815963523,0.0,1,52.84599582307425,32,1.0,0.9843096815963523,1,0,expert,1840,0.0,0,0,0.0,0,0,0.0,1,medium,medium,Elite Performer,4
